url,normalized_url,final_url,site_name,page_title,display_label,status,http_status,content_type,source_count,source_files,last_checked,error
https://111.nhs.uk/,https://111.nhs.uk/,https://111.nhs.uk/,NHS,111 online Get help for your symptoms,NHS — 111 online Get help for your symptoms,ok,200,text/html,39,src/content/guides/uk/a-partner-pressures-you-to-drink-or-take-substances-against-your-will.md | src/content/guides/uk/you-accidentally-take-someone-elses-prescription-medication.md | src/content/guides/uk/you-cough-up-blood-or-see-blood-in-your-mucus.md | src/content/guides/uk/you-develop-a-new-painful-blistering-rash-in-a-band-on-one-side-of-your-body.md | src/content/guides/uk/you-develop-a-new-rash-that-is-spreading-quickly.md | src/content/guides/uk/you-develop-a-sudden-high-fever-after-returning-from-travel.md | src/content/guides/uk/you-develop-a-worsening-cough-or-wheeze-after-breathing-in-smoke-from-a-fire.md | src/content/guides/uk/you-develop-new-confusion-or-severe-drowsiness-after-taking-a-new-medicine.md | src/content/guides/uk/you-develop-new-severe-thirst-frequent-urination-and-unexpected-weight-loss.md | src/content/guides/uk/you-develop-pelvic-pain-with-fever-and-unusual-discharge.md | src/content/guides/uk/you-develop-sudden-back-pain-with-new-leg-numbness-or-weakness.md | src/content/guides/uk/you-develop-sudden-new-shortness-of-breath.md | src/content/guides/uk/you-develop-sudden-spinning-dizziness-and-have-to-lie-down.md | src/content/guides/uk/you-feel-food-stuck-in-your-throat-and-you-can-breathe-but-swallowing-is-difficult.md | src/content/guides/uk/you-feel-lightheaded-and-close-to-fainting-but-the-symptoms-keep-returning.md | src/content/guides/uk/you-get-a-bite-or-sting-and-the-swelling-keeps-increasing-over-hours.md | src/content/guides/uk/you-get-an-unexpectedly-high-blood-pressure-reading-and-feel-unwell.md | src/content/guides/uk/you-have-a-fever-and-your-heart-rate-feels-unusually-fast-at-rest.md | src/content/guides/uk/you-have-a-fever-with-a-stiff-neck-or-sensitivity-to-light.md | src/content/guides/uk/you-have-a-joint-that-is-suddenly-hot-swollen-and-painful.md | src/content/guides/uk/you-have-a-new-episode-of-unusual-sensations-and-confusion-and-worry-it-could-be-a-seizure.md | src/content/guides/uk/you-have-severe-constipation-with-increasing-abdominal-swelling-and-nausea.md | src/content/guides/uk/you-have-sudden-abdominal-pain-that-is-new-and-worsening.md | src/content/guides/uk/you-have-sudden-back-or-side-pain-with-fever-and-urinary-symptoms.md | src/content/guides/uk/you-have-sudden-heavy-vaginal-bleeding-and-feel-dizzy.md | src/content/guides/uk/you-have-sudden-severe-chest-pain-or-heartburn-after-swallowing-a-pill.md | src/content/guides/uk/you-have-sudden-severe-pain-in-your-upper-abdomen-with-nausea-that-will-not-settle.md | src/content/guides/uk/you-hit-your-eye-and-now-have-worsening-pain-or-blurred-vision.md | src/content/guides/uk/you-hit-your-head-and-now-have-a-worsening-headache-nausea-or-unusual-sleepiness.md | src/content/guides/uk/you-notice-a-new-breast-redness-or-swelling-with-fever-that-develops-quickly.md | src/content/guides/uk/you-notice-a-new-lump-or-swelling-that-appeared-suddenly-and-is-growing.md | src/content/guides/uk/you-notice-a-rash-with-fever-and-are-unsure-if-it-is-serious.md | src/content/guides/uk/you-notice-purple-spots-or-bruising-that-appear-suddenly-without-injury.md | src/content/guides/uk/you-realise-you-may-have-mixed-up-two-similar-looking-medicines.md | src/content/guides/uk/you-realise-you-may-have-taken-two-medicines-that-should-not-be-combined.md | src/content/guides/uk/you-start-a-new-medicine-and-feel-faint-unusually-restless-or-severely-sweaty.md | src/content/guides/uk/you-suddenly-lose-hearing-in-one-ear-or-your-hearing-drops-sharply.md | src/content/guides/uk/you-think-you-have-taken-too-much-paracetamol-or-acetaminophen-from-multiple-products.md | src/content/guides/uk/your-fever-returns-after-you-seemed-to-be-improving.md,2026-07-18T17:49:39+00:00,
https://111.nhs.uk/emergency-prescription,https://111.nhs.uk/emergency-prescription,https://111.nhs.uk/emergency-prescription,NHS,111 online Emergency prescriptions,NHS — 111 online Emergency prescriptions,ok,200,text/html,1,src/content/guides/uk/you-miss-a-dose-of-important-medicine-and-symptoms-are-starting.md,2026-07-18T17:50:52+00:00,
https://111.wales.nhs.uk/,https://111.wales.nhs.uk/,https://111.wales.nhs.uk/,111.wales.nhs.uk,NHS 111 Wales,111.wales.nhs.uk — NHS 111 Wales,ok,200,text/html,20,src/content/guides/uk/a-finger-or-toe-suddenly-becomes-cold-pale-or-blue-and-painful.md | src/content/guides/uk/you-accidentally-take-someone-elses-prescription-medication.md | src/content/guides/uk/you-cough-up-blood-or-see-blood-in-your-mucus.md | src/content/guides/uk/you-develop-a-new-severe-headache-with-nausea-after-a-recent-infection.md | src/content/guides/uk/you-develop-a-sudden-high-fever-after-returning-from-travel.md | src/content/guides/uk/you-develop-pelvic-pain-with-fever-and-unusual-discharge.md | src/content/guides/uk/you-feel-lightheaded-and-close-to-fainting-but-the-symptoms-keep-returning.md | src/content/guides/uk/you-have-a-joint-that-is-suddenly-hot-swollen-and-painful.md | src/content/guides/uk/you-have-a-painful-rapidly-worsening-sore-throat-and-trouble-swallowing.md | src/content/guides/uk/you-have-new-urinary-pain-and-see-blood-in-your-urine.md | src/content/guides/uk/you-have-severe-constipation-with-increasing-abdominal-swelling-and-nausea.md | src/content/guides/uk/you-have-sudden-back-or-side-pain-with-fever-and-urinary-symptoms.md | src/content/guides/uk/you-have-sudden-severe-ear-pain-with-fever-and-swelling-behind-the-ear.md | src/content/guides/uk/you-miss-a-dose-of-important-medicine-and-symptoms-are-starting.md | src/content/guides/uk/you-notice-a-new-breast-redness-or-swelling-with-fever-that-develops-quickly.md | src/content/guides/uk/you-notice-a-new-irregular-heartbeat-or-skipped-beats-and-feel-unsettled.md | src/content/guides/uk/you-think-you-have-taken-too-much-paracetamol-or-acetaminophen-from-multiple-products.md | src/content/guides/uk/you-think-you-swallowed-a-fish-bone-or-sharp-food-and-throat-pain-is-worsening.md | src/content/guides/uk/your-fever-returns-after-you-seemed-to-be-improving.md | src/content/guides/uk/your-stools-turn-very-pale-while-your-urine-becomes-very-dark.md,2026-07-18T17:49:30+00:00,
https://111.wales.nhs.uk/calling111.aspx,https://111.wales.nhs.uk/calling111.aspx,https://111.wales.nhs.uk/calling111.aspx,nhs.uk,NHS 111 Wales,nhs.uk — NHS 111 Wales,ok,200,text/html,1,src/content/guides/uk/you-have-sudden-severe-pain-in-your-upper-abdomen-with-nausea-that-will-not-settle.md,2026-07-18T17:50:48+00:00,
https://111.wales.nhs.uk/contactus/,https://111.wales.nhs.uk/contactus/,https://111.wales.nhs.uk/contactus/,nhs.uk,NHS 111 Wales,nhs.uk — NHS 111 Wales,ok,200,text/html,1,src/content/guides/uk/you-suspect-your-drink-or-food-has-been-tampered-with-or-spiked.md,2026-07-18T17:51:15+00:00,
https://111.wales.nhs.uk/encyclopaedia/a/article/appendicitis,https://111.wales.nhs.uk/encyclopaedia/a/article/appendicitis,https://111.wales.nhs.uk/encyclopaedia/a/article/appendicitis,111.wales.nhs.uk,NHS 111 Wales - Health A-Z : Appendicitis,111.wales.nhs.uk — NHS 111 Wales - Health A-Z : Appendicitis,ok,200,text/html,1,src/content/guides/uk/you-have-steadily-worsening-pain-in-the-lower-right-side-of-your-abdomen.md,2026-07-18T17:50:47+00:00,
https://111.wales.nhs.uk/encyclopaedia/h/article/heatexhaustionandheatstroke,https://111.wales.nhs.uk/encyclopaedia/h/article/heatexhaustionandheatstroke,https://111.wales.nhs.uk/encyclopaedia/h/article/heatexhaustionandheatstroke,111.wales.nhs.uk,Heat exhaustion and heatstroke,111.wales.nhs.uk — Heat exhaustion and heatstroke,ok,200,text/html,1,src/content/guides/uk/you-develop-severe-muscle-cramps-and-feel-overheated-in-hot-weather.md,2026-07-18T17:50:29+00:00,
https://111.wales.nhs.uk/encyclopaedia/p/article/poisoning/,https://111.wales.nhs.uk/encyclopaedia/p/article/poisoning/,https://111.wales.nhs.uk/encyclopaedia/p/article/poisoning/,111.wales.nhs.uk,NHS 111 Wales - Health A-Z : Poisoning,111.wales.nhs.uk — NHS 111 Wales - Health A-Z : Poisoning,ok,200,text/html,2,src/content/guides/uk/you-realise-you-may-have-taken-two-medicines-that-should-not-be-combined.md | src/content/guides/uk/you-suspect-you-swallowed-a-caustic-household-product-and-your-mouth-or-throat-is-burning.md,2026-07-18T17:51:01+00:00,
https://111.wales.nhs.uk/Encyclopaedia/s/article/sepsis,https://111.wales.nhs.uk/Encyclopaedia/s/article/sepsis,https://111.wales.nhs.uk/Encyclopaedia/s/article/sepsis,111.wales.nhs.uk,NHS 111 Wales - Health A-Z : Sepsis,111.wales.nhs.uk — NHS 111 Wales - Health A-Z : Sepsis,ok,200,text/html,1,src/content/guides/uk/you-develop-shaking-chills-and-feel-suddenly-much-sicker-than-a-typical-viral-illness.md,2026-07-18T17:50:31+00:00,
https://111.wales.nhs.uk/encyclopaedia/s/article/stomachache,https://111.wales.nhs.uk/encyclopaedia/s/article/stomachache,https://111.wales.nhs.uk/encyclopaedia/s/article/stomachache,111.wales.nhs.uk,Stomach ache,111.wales.nhs.uk — Stomach ache,ok,200,text/html,1,src/content/guides/uk/you-have-sudden-abdominal-pain-that-is-new-and-worsening.md,2026-07-18T17:50:47+00:00,
